title,authors,fieldOfStudy,year,doiUrl
Spontaneous Hot Flow Anomalies at Quasi-Parallel Shocks: 2. Hybrid Simulations,"Nick  Omidi, Hui  Zhang, David G. Sibeck, Drew L. Turner",Physics,2013,https://doi.org/10.1029/2012JA018099
Photocatalysis of Titanium Dioxide for Water Disinfection: Challenges and Future Perspectives,"Ming J. Wu, Tadeusz  Bak, Patrick J. O'Doherty, Michelle C. Moffitt, Janusz  Nowotny, Trevor D. Bailey, Cindy  Kersaitis",Materials Science,2014,https://doi.org/10.1155/2014%2F973484
Electronic Structure and Optical Properties of Charge‐transfer Fullerene‐porphyrin Complexes: ab initio Calculations,"O. E. Kvyatkovskii, E. G. Donenko, I. B. Zakharova",Chemistry,2008,https://doi.org/10.1080/15363830802286160
Phasic not tonic pupillary responses vary with auditory vigilance performance.,J  Beatty,Psychology,1982,https://doi.org/10.1111/J.1469-8986.1982.TB02540.X
Metamodeling for High Dimensional Simulation-Based Design Problems,"Songqing  Shan, G. Gary Wang",Engineering,2010,https://doi.org/10.1115/1.4001597
Recent advances in the construction of cyclic grafted polymers and their potential applications,"Shuangshuang  Zhang, Shuangshuang  Zhang, Yasuyuki  Tezuka, Zhengbiao  Zhang, Na  Li, Wei  Zhang, Xiulin  Zhu",Materials Science,2018,https://doi.org/10.1039/C7PY01544E
Cosmology with Decaying Vacuum Energy,"Katherine  Freese, Fred C. Adams, Joshua A. Frieman, Emil  Mottola",Physics,1987,https://doi.org/10.1016/0550-3213%2887%2990129-5
"Comparison of agglutinatio test, microscopy and nPCR for diagnosis of Toxoplasma gondii isolated from sheep and goat of Central Ethiopia","Endrias  Zewdu, Tesfaye Sisay Tessema, Getachew  Tilahun, Eric  Cox, Bruno  Goddeeris, Pierre  Dorny",Biology,2015,https://doi.org/10.4314/evj.v19i1.6
Excitons in quantum—dot quantum—well nanoparticles,史俊杰,Physics,2005,https://doi.org/10.1088/1009-1963%2F11%2F12%2F013
Word valence and its effects,Ad  Foolen,Psychology,2015,https://doi.org/10.1075/ceb.10.12foo
Decarboxylative Csp3-N Bond Formation by Electrochemical Oxidation of Amino Acids.,"Xiaoqing  Shao, Yue  Zheng, Lifang  Tian, Inmaculada  Martín-Torres, Antonio M Echavarren, Yahui  Wang",Chemistry,2019,https://doi.org/10.1021/acs.orglett.9b03696
The best type of trial,J A Chris Delaney,Medicine,2004,https://doi.org/10.1503/CMAJ.1040320
Women's expectations and experiences of maternity care in NSW--what women highlight as most important.,"Mary G Jenkins, Jane B Ford, Jonathan M Morris, Christine L Roberts",Medicine,2014,https://doi.org/10.1016/j.wombi.2014.03.002
Acoustic reflection for nasal airway measurement in patients with obstructive sleep apnea-hypopnea syndrome.,"Hsueh-Yu  Li, Heather  Engleman, Chung-Yao  Hsu, Bilgay  Izci, Marjorie  Vennelle, Melanie  Cross, Neil J Douglas",Medicine,2005,https://doi.org/10.1093/SLEEP%2F28.12.1554
Is Irisin Anticancer Agent,Işıl  Yıldırım,Medicine,2018,https://doi.org/10.3390/proceedings2251561
A Step-wise-overlapped Parallel Annealing Algorithm on a Message-passing Multiprocessor System,"Youngtak  Kim, Myunghwan  Kim",Computer Science,1990,https://doi.org/10.1002/cpe.4330020204
Talk To the Hand? Community Councils and Planning Consultation,Jonathan Mark Anderson,Sociology,2008,https://doi.org/10.1177/1473095208094827
The Role of Medical Language in Changing Public Perceptions of Illness,"Meredith E. Young, Geoffrey R. Norman, Karin R. Humphreys",Medicine,2008,https://doi.org/10.1371/journal.pone.0003875
"Effect of Fungicides and Plant Extracts in the Management of Foliar, Twig and Fruit Diseases of Citrus (Citrus limon)","K  Yesmin, M  Ahmad, Mb  Momtaz, K  Begum",Biology,2017,https://doi.org/10.3329/JESNR.V10I1.34701
"Snoring, and some obstructive sleep apnea, can be cured by oropharyngeal surgery.","F B Simmons, C  Guilleminault, R  Silvestri",Medicine,1983,https://doi.org/10.1001/ARCHOTOL.1983.00800220009003
Samarium(III) Triflate as an Efficient and Reusable Catalyst for Facile Synthesis of Benzoxazoles and Benzothiazoles in Aqueous Medium,"Pratapsinha B. Gorepatil, Yogesh D. Mane, Vilas S. Ingle",Chemistry,2013,https://doi.org/10.1055/S-0033-1339758
Upgrade of optical WDM transport systems introducing linerates at 40 Gbit/s per channel,"Malte  Schneiders, Sascha  Vorbeck, Nora  Aust",Geography,2006,https://doi.org/10.1117/12.686003
Transcriptomics of atopy and atopic asthma in white blood cells from children and adolescents,"Yale  Jiang, Olena  Gruzieva, Ting  Wang, Erick  Forno, Nadia  Boutaoui, Tao  Sun, Simon K Merid, Edna  Acosta-Pérez, Inger  Kull, Glorisa  Canino, Josep M Antó, Jean  Bousquet, Erik  Melén, Wei  Chen, Juan C Celedón",Medicine,2019,https://doi.org/10.1183/13993003.00102-2019
Feasibility Study on Shear Horizontal Surface Acoustic Wave Sensors for Engine Oil Evaluation,"Saya  Kobayashi, Jun  Kondoh",Materials Science,2020,https://doi.org/10.3390/s20082184
Incidence of postpartum thyroiditis and study of possible associated factors,"José Ignacio Jaén Díaz, Francisco López de Castro, Blanca Cordero García, Francisca Santillana Balduz, Julia Sastre Marcos, Cristina Martín Dal Gesso",Medicine,2009,https://doi.org/10.1016/J.MEDCLI.2008.10.059
singleCellHaystack: Finding surprising genes in 2-dimensional representations of single cell transcriptome data,"Alexis  Vandenbon, Diego  Diez",Biology,2019,https://doi.org/10.1101/557967
Use of finite wordlength FIR digital filter structures with improved magnitude and phase characteristics for reduction of muscle noise in EEG signals,"P. K. Sadasivan, Dr. D. Narayana Dutt",Mathematics,2006,https://doi.org/10.1007/BF02510504
Cultural contexts and governmental digital reporting,"Manuel Pedro Rodríguez Bolívar, Carmen Caba Pérez, Antonio Manuel López Hernández",Economics,2006,https://doi.org/10.1177/0020852306064614
4-Phosphatephenyl-modified glassy carbon electrode for real-time and simultaneous electrochemical monitoring of paracetamol and diclofenac release from electrospun nanofibers,"Tingting  Zhou, Lili  Li, Jiabo  Wang, Xuesong  Chen, Guocheng  Yang, Yuping  Shan",Materials Science,2015,https://doi.org/10.1039/C5AY02112J
Overcoming the balance-sheet model of the colonial education in Mozambique. A contextualization of missionary teaching during the Estado Novo from the educative reports of the Diocese of Beira,"Ramón Aguadero Miguel, Carmen Sanchidrián Blanco",Sociology,2014,https://doi.org/10.14516/ETE.2014.001.002.002
Discretisation Schemes for Level Sets of Planar Gaussian Fields,"Dmitry  Beliaev, Stephen  Muirhead",Mathematics,2017,https://doi.org/10.1007/s00220-018-3084-1
"Concurrent anemia and stunting in young children: prevalence, dietary and non-dietary associated factors","Shimels Hussien Mohammed, Bagher  Larijani, Ahmad  Esmaillzadeh",Medicine,2019,https://doi.org/10.1186/s12937-019-0436-4
A model for the preventive maintenance scheduling of power plants including wind farms,"Salvador Perez Canto, Juan Carlos Rubio-Romero",Engineering,2013,https://doi.org/10.1016/j.ress.2013.04.005
Parameter Identification of Weakly Nonlinear Vibration System in Frequency Domain,"Jiehua  Peng, Jiashi  Tang, Zili  Chen",Mathematics,2004,https://doi.org/10.1155/2004%2F634785
Renal Ontogeny of P-Glycoprotein/MDR1 in Rat,"I.  Hodorova, J.  Mihalik, J.  Vecanova, M.  Dankova, S.  Rybarova",Medicine,2011,https://doi.org/10.2478/v10201-011-0003-y
An exploration of BCI performance variations in people with amyotrophic lateral sclerosis using longitudinal EEG data.,"Yalda  Shahriari, Theresa M Vaughan, Lynn  McCane, Brendan Z Allison, Jonathan R Wolpaw, Dean J Krusienski",Psychology,2019,https://doi.org/10.1088/1741-2552%2Fab22ea
Cu(II)/Cd(II) coordination polymers based on polycarboxylate and 2-(2-pyridyl)benzimidazole,"Wei  Li, Ming-Xing  Li, Jia-Jun  Yang, Min  Shao, Hong-Jiang  Liu",Chemistry,2008,https://doi.org/10.1080/00958970801958980
On the symmetry of iron(III) tris-acetylacetonate crystals,"P. A. Stabnikov, N. V. Pervukhina, I. A. Baidina, Liliya A. Sheludyakova, Stanislav V. Borisov",Chemistry,2007,https://doi.org/10.1007/S10947-007-0030-Z
Exemplar-Model Accounts of Dissociations Between Categorization and Old–New Recognition,Robert M. Nosofsky,Psychology,2017,https://doi.org/10.1016/B978-0-12-809324-5.21061-4
Effects of neck damping properties on brain response underimpact loading.,"V  Dirisala, G  Karami, M  Ziejewski",Physics,2012,https://doi.org/10.1002/cnm.1480
Incidence of New Coronary Calcification: Time to Conversion From CAC = 0.,"Omar  Dzaye, Zeina A Dardari, Miguel  Cainzos-Achirica, Ron  Blankstein, Moyses  Szklo, Matthew J Budoff, Joao A C Lima, Roger S Blumenthal, Khurram  Nasir, Michael J Blaha",Medicine,2020,https://doi.org/10.1016/j.jacc.2020.01.047
The index of symmetry of a flag manifold,Fabio  Podesta',Mathematics,2014,https://doi.org/10.4171/RMI%2F874
"Relevance of tumor microenvironment for progression, therapy and drug development.","Tobias  Henning, Michael  Kraus, Martin  Brischwein, Angela M Otto, Bernhard  Wolf",Medicine,2004,https://doi.org/10.1097/00001813-200401000-00002
Child & Adolescent Psychiatry in Development - A Personal Retrospective Account Across Five Decades,Ralf W. Dittmann,Psychology,2019,https://doi.org/10.33425/2641-4317.1014
Development of Encarsia bimaculata (Heraty and Polaszek) (Hymenoptera: Aphelinidae) in Bemisia tabaci (Gennadius) (Homoptera: Aleyrodidae) nymphs ☆,"Binu  Antony, M. S. Palaniswami, Alan A. Kirk, Thomas J. Henneberry",Biology,2004,https://doi.org/10.1016/J.BIOCONTROL.2004.01.018
Dynamic Bandwidth Allocation Performance for Dual QoS Classes in Resilient Packet Ring,Yasuyuki  Okumura,Computer Science,2008,https://doi.org/10.1093/ietcom%2Fe91-b.10.3226
THE DEVELOPMENT OF ENTREPRENEURIAL SKILLS AMONG STUDENTS OF AVERAGE PROFESSIONAL EDUCATIONAL INSTITUTIONS: THE EXPERIENCE OF THE TOMSK REGION,"N V Belyakov, A P Glinushkin",Sociology,2019,https://doi.org/10.18551/ERUDIO.6-1.1
Association of paternal age at birth and the risk of breast cancer in offspring: a case control study,"Ji-Yeob  Choi, Kyoung-Mu  Lee, Sue Kyung Park, Dong-Young  Noh, Sei-Hyun  Ahn, Keun-Young  Yoo, Daehee  Kang",Medicine,2005,https://doi.org/10.1186/1471-2407-5-143
EFFECT OF VARIOUS SOIL AMENDMENTS ON THE MINERAL NUTRITION OF SALIX VIMINALIS AND ARUNDO DONAX ENERGY CROPS,"László  Simon, Béla  Szabó, M.  Szabó, György  Vincze, Csaba  Varga, Zsuzsanna  Uri, József  Koncz",Chemistry,2012,https://doi.org/10.17628/ECB.2013.2.18-21
Relationships between patient- and session-related variables and outcomes of psychiatric genetic counseling,"Sarah  Gerrard, Angela  Inglis, Emily  Morris, Jehannine  Austin",Medicine,2020,https://doi.org/10.1038/s41431-020-0592-1
Rhodium catalysed decarbonylation of optically active campholenal analogues,"Christian  Chapuis, Beat  Winter, Karl H. Schulte‐Elte",Chemistry,1992,https://doi.org/10.1016/S0040-4039%2800%2960025-4
COGNITIVE DEMANDS OF HANDS-FREE-PHONE CONVERSATION WHILE DRIVING,"Luís  Nunes, Miguel Ángel Recarte",Psychology,2002,https://doi.org/10.1016/S1369-8478%2802%2900012-8
Coherent Optomechanical Switch for Motion Transduction Based on Dynamically Localized Mechanical Modes,"Hao  Fu, Zhi-cheng  Gong, Li-Ping  Yang, Tian-hua  Mao, Chang-Pu  Sun, Su  Yi, Yong  Li, Gengyu  Cao",Physics,2018,https://doi.org/10.1103/PHYSREVAPPLIED.9.054024
Balance in Transitional Age Youth with Autism Spectrum and Neurodevelopmental Disorders during a 6-Week Comprehensive Wellness Program,"Spratt  Eve, Papa  Carrie, McDonald  Conner, Mueller  Martina, Gribben  Nicole, Peterseim  Carolyn, Mercer Mary Ashley, Serpe  Ali, Baier  Tatiana, Newton  Janis",Psychology,2019,https://doi.org/10.23937/2469-5718%2F1510138
Classification of chaos and a large deviation theory for compact dynamical systems,Yoichiro  Takahashi,Mathematics,1995,https://doi.org/10.1007/978-3-642-48719-4_22
A diffusion equation in transparent media,"Fuensanta  Andreu, V.  Caselles, José M. Mazón, J. S. Moll",Mathematics,2007,https://doi.org/10.1007/S00028-007-0249-3
"Influence of visually perceived shape and brightness on perceived size, expected weight, and perceived weight of 3D objects","Michele  Vicovaro, Katia  Ruta, Giulio  Vidotto",Mathematics,2019,https://doi.org/10.1371/journal.pone.0220149
An innovative approach of HDS routing protocol in MANET,"V.  Sameswari, E.  Ramaraj",Computer Science,2016,https://doi.org/10.1109/ICACCCT.2016.7831717
"Older people's experiences of therapeutic exercise as part of a falls prevention service: survey findings from England, Wales and Northern Ireland.","Amanda K Buttery, Janet  Husk, Derek  Lowe, Jonathan  Treml, Naomi  Vasilakis, Jackie  Riglin",Medicine,2014,https://doi.org/10.1093/ageing%2Faft182
Insulin sensitivity and glucose tolerance are altered by maintenance on a ketogenic diet.,"Kimberly P Kinzig, Mary Ann Honors, Sara L Hargrave",Biology,2010,https://doi.org/10.1210/en.2010-0175
A Method for Environmental Evaluation of Shoreland Management Alternatives,"C.  Cheng, C.  Conti",Engineering,1980,https://doi.org/10.1016/S1474-6670%2817%2965066-3
Punctuated anytime learning for evolving a team,"Gary B. Parker, H. J. Blumenthal",Engineering,2002,https://doi.org/10.1109/WAC.2002.1049496
Stiff-man syndrome updated.,"T R Lorish, G  Thorsteinsson, F M Howard",Medicine,1989,https://doi.org/10.1016/S0025-6196%2812%2965339-7
Coefficient of Drag and Trajectory Simulation of 130 mm Supersonic Artillery Shell with Recovery Plug or Fuze,"S.  Sahoo, M. K. Laha",Physics,2014,https://doi.org/10.14429/DSJ.64.8110
Short-term dermal exposure to tannery effluent does not cause behavioral changes in male Swiss mice,"Bruna de Oliveira Mendes, Abraão Tiago Batista Guimarães, Joyce Moreira de Souza, Raíssa de Oliveira Ferreira, Wellington Alves Mizael da Silva, Aline Sueli de Lima Rodrigues, Guilherme Cunha Malafaia",Biology,2018,https://doi.org/10.4136/ambi-agua.2143
Split string formalism and the closed string vacuum,Theodore  Erler,Physics,2007,https://doi.org/10.1088/1126-6708%2F2007%2F05%2F083
"Civilized cola and peasant pozol: young people’s social representations of a traditional maize beverage and soft drinks within food systems of Chiapas, Mexico","Morgan  Jenatton, Helda  Morales",Geography,2020,https://doi.org/10.1080/21683565.2019.1631935
A Ground for Ethics in Heidegger's Being and Time,Donovan  Miyasaki,Philosophy,2007,https://doi.org/10.1080/00071773.2007.11006618
Examination of biofilm formation and risk of infection associated with the use of urinary catheters with leg bags.,"J  Rogers, D I Norkett, P  Bracegirdle, A B Dowsett, J T Walker, T  Brooks, C W Keevil",Medicine,1996,https://doi.org/10.1016/S0195-6701%2896%2990052-3
Getting to Yes: Corporate Power and the Creation of a Psychopharmaceutical Blockbuster,Kalman  Applbaum,Business,2009,https://doi.org/10.1007/s11013-009-9129-3
A Quasi-Exact Dynamic Finite Element for Free Vibration Analysis of Sandwich Beams,"Seyed M. Hashemi, Ernest J. Adique",Materials Science,2010,https://doi.org/10.1007/S10443-009-9109-3
Reversible Programming Techniques for Shortest-Path Algorithms,"Lanying  Guo, Chao  Peng, Siyuan  Chen, Cheng  He",Computer Science,2018,https://doi.org/10.1109/PCCC.2018.8711109
Production and conversion of chitosan with cultures of Mucor rouxii or Phycomyces blakesleeanus,"Dietrich  Knorr, Joachim  Klein",Biology,2005,https://doi.org/10.1007/BF01032563
Empleo y desempleo desde la perspectiva del bienestar subjetivo,Miren Maite Ansa Eceiza,Psychology,2016,https://doi.org/10.1387/lan-harremanak.16556
Studies on a new antibiotic SF-2330. II. The structural elucidation.,"J  Itoh, T  Tsuyuki, K  Fujita, M  Sezaki",Biology,1986,https://doi.org/10.7164/ANTIBIOTICS.39.780
Digital Addiction Ontology for Social Networking Systems,"Amen  Alrobai, Huseyin  Dogan",Sociology,2014,https://doi.org/10.1007/978-3-319-15168-7_21
"Crosslinked blends of poly(lactic acid) and polyacrylates: AFM, DSC and XRD studies","Halina  Kaczmarek, Marek  Nowicki, Irena  Vuković-Kwiatkowska, Sylwia  Nowakowska",Materials Science,2013,https://doi.org/10.1007/s10965-013-0091-y
Kinetic coefficients of the semiconducting phase of FeSi2 at low temperatures,"Mikhail  Fedorov, Vyacheslav V. Popov, I. S. Eremin, V. K. Zaitsev",Physics,2000,https://doi.org/10.1134/1.1131370
Performance Characterization of a Direct Injection LPG Fuelled Two-Stroke Motorcycle Engine,"Y. H. Teoh, Horizon  Gitano-Briggs, Khairil Faizi Mustafa",Engineering,2008,https://doi.org/10.4271/2008-32-0045
Abstract: Outpatient Male-to-Female Vaginoplasty Is a Safe Procedure,"Jenny Lee Nguyen, Jesse T. Nguyen, Thanh A. Nguyen, Michael J. Wheatley, Tuan A. Nguyen",Medicine,2016,https://doi.org/10.1097/01.GOX.0000503019.73352.E6
Field-Programmable Gate Arrays,Saburo  Muroga,Computer Science,1999,https://doi.org/10.1201/9781420049671.ch44
Mammalian erythroblast enucleation requires PI3K-dependent cell polarization,"Junxia  Wang, Tzutzuy  Ramirez, Peng  Ji, Senthil Raja Jayapal, Harvey F Lodish, Maki  Murata-Hori",Biology,2012,https://doi.org/10.1242/jcs.088286
"""Bigger than a payphone, smaller than a Cadillac"": porn stardom in 'Exhausted: John C Holmes The Real Story'",Neil  Jackson,Psychology,2016,https://doi.org/10.5040/9781501322426.ch-009
Develop Monitoring System with Java Media Frame,"Jun Wu Xu, Jun Ling Liang",Computer Science,2013,https://doi.org/10.4028/www.scientific.net%2FAMR.631-632.1260
An integrated design for personal computers in the marketing curriculum,Robert F. Dyer,Business,1987,https://doi.org/10.1007/BF02723398
